"company_id","company_name","years","employees_number","status"
5,"Eastman Kodak",NA,4500,"Defunct"
5,"Eastman Kodak",NA,4922,"Defunct"
5,"Eastman Kodak",NA,5400,"Defunct"
5,"Eastman Kodak",NA,5800,"Defunct"
5,"Eastman Kodak",NA,6100,"Defunct"
5,"Eastman Kodak",NA,6400,"Defunct"
5,"Eastman Kodak",NA,7300,"Defunct"
5,"Eastman Kodak",NA,8800,"Defunct"
5,"Eastman Kodak",NA,13000,"Defunct"
5,"Eastman Kodak",NA,17100,"Defunct"
5,"Eastman Kodak",NA,18800,"Defunct"
5,"Eastman Kodak",NA,20250,"Defunct"
6,"Pier 1 Imports",NA,18000,"Defunct"
6,"Pier 1 Imports",NA,18500,"Defunct"
6,"Pier 1 Imports",NA,20500,"Defunct"
6,"Pier 1 Imports",NA,22000,"Defunct"
6,"Pier 1 Imports",NA,24000,"Defunct"
6,"Pier 1 Imports",NA,22200,"Defunct"
6,"Pier 1 Imports",NA,21400,"Defunct"
6,"Pier 1 Imports",NA,19700,"Defunct"
6,"Pier 1 Imports",NA,17000,"Defunct"
6,"Pier 1 Imports",NA,16200,"Defunct"
6,"Pier 1 Imports",NA,16700,"Defunct"
8,"BlackBerry",NA,2647,"Defunct"
8,"BlackBerry",NA,3181,"Defunct"
8,"BlackBerry",NA,3325,"Defunct"
8,"BlackBerry",NA,3497,"Defunct"
8,"BlackBerry",NA,3668,"Defunct"
8,"BlackBerry",NA,3945,"Defunct"
8,"BlackBerry",NA,3288,"Defunct"
8,"BlackBerry",NA,4044,"Defunct"
8,"BlackBerry",NA,4534,"Defunct"
8,"BlackBerry",NA,6225,"Defunct"
8,"BlackBerry",NA,8057,"Defunct"
8,"BlackBerry",NA,12700,"Defunct"
8,"BlackBerry",NA,16500,"Defunct"
8,"BlackBerry",NA,17500,"Defunct"
8,"BlackBerry",NA,13873,"Defunct"
8,"BlackBerry",NA,12800,"Defunct"
60,"CVS Health",NA,3e+05,"Active"
60,"CVS Health",NA,3e+05,"Active"
60,"CVS Health",NA,3e+05,"Active"
60,"CVS Health",NA,3e+05,"Active"
60,"CVS Health",NA,3e+05,"Active"
60,"CVS Health",NA,290000,"Active"
60,"CVS Health",NA,295000,"Active"
60,"CVS Health",NA,246000,"Active"
60,"CVS Health",NA,250000,"Active"
60,"CVS Health",NA,243000,"Active"
60,"CVS Health",NA,217800,"Active"
60,"CVS Health",NA,208000,"Active"
60,"CVS Health",NA,203000,"Active"
60,"CVS Health",NA,202000,"Active"
60,"CVS Health",NA,201000,"Active"
60,"CVS Health",NA,211000,"Active"
61,"LG Display",NA,66418,"Active"
61,"LG Display",NA,69656,"Active"
61,"LG Display",NA,70707,"Active"
61,"LG Display",NA,63360,"Active"
61,"LG Display",NA,60429,"Active"
61,"LG Display",NA,58947,"Active"
61,"LG Display",NA,53891,"Active"
61,"LG Display",NA,49094,"Active"
61,"LG Display",NA,49205,"Active"
61,"LG Display",NA,49421,"Active"
61,"LG Display",NA,51205,"Active"
61,"LG Display",NA,55621,"Active"
61,"LG Display",NA,56029,"Active"
61,"LG Display",NA,46705,"Active"
62,"Lions Gate Entertainment",NA,1717,"Active"
62,"Lions Gate Entertainment",NA,1500,"Active"
62,"Lions Gate Entertainment",NA,1448,"Active"
62,"Lions Gate Entertainment",NA,1466,"Active"
62,"Lions Gate Entertainment",NA,1443,"Active"
62,"Lions Gate Entertainment",NA,1415,"Active"
62,"Lions Gate Entertainment",NA,1686,"Active"
